Starting time: Wed Aug  7 18:11:55 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 83, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x153347f28dc0>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_noise_5__20240610_010712_obj_83
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240610_010712_obj_83 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.5876, 'grad_norm': 3.9449894428253174, 'learning_rate': 3.587443946188341e-07, 'epoch': 0.18}
{'loss': 1.5825, 'grad_norm': 3.8695766925811768, 'learning_rate': 7.174887892376682e-07, 'epoch': 0.36}
{'loss': 1.5782, 'grad_norm': 3.858093738555908, 'learning_rate': 1.0762331838565023e-06, 'epoch': 0.54}
{'loss': 1.5524, 'grad_norm': 3.9059109687805176, 'learning_rate': 1.4349775784753365e-06, 'epoch': 0.72}
{'loss': 1.5397, 'grad_norm': 3.8133044242858887, 'learning_rate': 1.7937219730941704e-06, 'epoch': 0.9}
{'loss': 1.511, 'grad_norm': 3.781477928161621, 'learning_rate': 2.1524663677130046e-06, 'epoch': 1.08}
{'loss': 1.4723, 'grad_norm': 3.758237361907959, 'learning_rate': 2.5112107623318388e-06, 'epoch': 1.26}
{'loss': 1.4452, 'grad_norm': 3.6434621810913086, 'learning_rate': 2.869955156950673e-06, 'epoch': 1.43}
{'loss': 1.3988, 'grad_norm': 3.6322762966156006, 'learning_rate': 3.228699551569507e-06, 'epoch': 1.61}
{'loss': 1.3448, 'grad_norm': 3.4864742755889893, 'learning_rate': 3.587443946188341e-06, 'epoch': 1.79}
{'loss': 1.2962, 'grad_norm': 3.401078939437866, 'learning_rate': 3.946188340807175e-06, 'epoch': 1.97}
{'loss': 1.2295, 'grad_norm': 3.3022570610046387, 'learning_rate': 4.304932735426009e-06, 'epoch': 2.15}
{'loss': 1.153, 'grad_norm': 3.1479787826538086, 'learning_rate': 4.663677130044843e-06, 'epoch': 2.33}
{'loss': 1.0881, 'grad_norm': 2.997529983520508, 'learning_rate': 5.0224215246636775e-06, 'epoch': 2.51}
{'loss': 0.9867, 'grad_norm': 2.8201305866241455, 'learning_rate': 5.381165919282512e-06, 'epoch': 2.69}
{'loss': 0.904, 'grad_norm': 2.5683867931365967, 'learning_rate': 5.739910313901346e-06, 'epoch': 2.87}
{'loss': 0.808, 'grad_norm': 2.2906103134155273, 'learning_rate': 6.098654708520179e-06, 'epoch': 3.05}
{'loss': 0.7054, 'grad_norm': 2.0431809425354004, 'learning_rate': 6.457399103139014e-06, 'epoch': 3.23}
{'loss': 0.6221, 'grad_norm': 1.8075487613677979, 'learning_rate': 6.8161434977578476e-06, 'epoch': 3.41}
{'loss': 0.537, 'grad_norm': 1.594277262687683, 'learning_rate': 7.174887892376682e-06, 'epoch': 3.59}
{'loss': 0.4482, 'grad_norm': 1.4085376262664795, 'learning_rate': 7.533632286995517e-06, 'epoch': 3.77}
{'loss': 0.3886, 'grad_norm': 1.293357491493225, 'learning_rate': 7.89237668161435e-06, 'epoch': 3.95}
{'loss': 0.3175, 'grad_norm': 1.192525863647461, 'learning_rate': 8.251121076233184e-06, 'epoch': 4.13}
{'loss': 0.2356, 'grad_norm': 1.168550729751587, 'learning_rate': 8.609865470852018e-06, 'epoch': 4.3}
{'loss': 0.1747, 'grad_norm': 1.1412055492401123, 'learning_rate': 8.968609865470853e-06, 'epoch': 4.48}
{'loss': 0.0809, 'grad_norm': 1.1669039726257324, 'learning_rate': 9.327354260089687e-06, 'epoch': 4.66}
{'loss': 0.002, 'grad_norm': 1.2415437698364258, 'learning_rate': 9.686098654708521e-06, 'epoch': 4.84}
{'loss': -0.0801, 'grad_norm': 1.2107787132263184, 'learning_rate': 1.0044843049327355e-05, 'epoch': 5.02}
{'loss': -0.1572, 'grad_norm': 1.0752570629119873, 'learning_rate': 1.040358744394619e-05, 'epoch': 5.2}
{'loss': -0.2279, 'grad_norm': 0.938405454158783, 'learning_rate': 1.0762331838565023e-05, 'epoch': 5.38}
{'loss': -0.2932, 'grad_norm': 0.9201810359954834, 'learning_rate': 1.1121076233183856e-05, 'epoch': 5.56}
{'loss': -0.392, 'grad_norm': 0.9564153552055359, 'learning_rate': 1.1479820627802692e-05, 'epoch': 5.74}
{'loss': -0.4674, 'grad_norm': 1.0135122537612915, 'learning_rate': 1.1838565022421526e-05, 'epoch': 5.92}
{'loss': -0.5664, 'grad_norm': 0.9629801511764526, 'learning_rate': 1.2197309417040358e-05, 'epoch': 6.1}
{'loss': -0.6729, 'grad_norm': 1.0879225730895996, 'learning_rate': 1.2556053811659194e-05, 'epoch': 6.28}
{'loss': -0.7417, 'grad_norm': 0.8815212249755859, 'learning_rate': 1.2914798206278028e-05, 'epoch': 6.46}
{'loss': -0.8226, 'grad_norm': 0.9712947607040405, 'learning_rate': 1.3273542600896863e-05, 'epoch': 6.64}
{'loss': -0.9056, 'grad_norm': 1.025062918663025, 'learning_rate': 1.3632286995515695e-05, 'epoch': 6.82}
{'loss': -0.9792, 'grad_norm': 0.8260023593902588, 'learning_rate': 1.399103139013453e-05, 'epoch': 7.0}
{'loss': -1.0464, 'grad_norm': 0.9369505643844604, 'learning_rate': 1.4349775784753363e-05, 'epoch': 7.17}
{'loss': -1.1241, 'grad_norm': 1.138930320739746, 'learning_rate': 1.4708520179372198e-05, 'epoch': 7.35}
{'loss': -1.1797, 'grad_norm': 0.892596423625946, 'learning_rate': 1.5067264573991033e-05, 'epoch': 7.53}
{'loss': -1.2654, 'grad_norm': 1.1686440706253052, 'learning_rate': 1.5426008968609866e-05, 'epoch': 7.71}
{'loss': -1.316, 'grad_norm': 1.2840406894683838, 'learning_rate': 1.57847533632287e-05, 'epoch': 7.89}
{'loss': -1.3756, 'grad_norm': 1.219008445739746, 'learning_rate': 1.6143497757847534e-05, 'epoch': 8.07}
{'loss': -1.4285, 'grad_norm': 1.3698660135269165, 'learning_rate': 1.650224215246637e-05, 'epoch': 8.25}
{'loss': -1.464, 'grad_norm': 1.2017652988433838, 'learning_rate': 1.6860986547085203e-05, 'epoch': 8.43}
{'loss': -1.4996, 'grad_norm': 1.4890364408493042, 'learning_rate': 1.7219730941704037e-05, 'epoch': 8.61}
{'loss': -1.5491, 'grad_norm': 1.6697723865509033, 'learning_rate': 1.757847533632287e-05, 'epoch': 8.79}
{'loss': -1.5841, 'grad_norm': 1.3850880861282349, 'learning_rate': 1.7937219730941705e-05, 'epoch': 8.97}
{'loss': -1.6167, 'grad_norm': 2.0450446605682373, 'learning_rate': 1.829596412556054e-05, 'epoch': 9.15}
{'loss': -1.6596, 'grad_norm': 2.018482208251953, 'learning_rate': 1.8654708520179373e-05, 'epoch': 9.33}
{'loss': -1.673, 'grad_norm': 1.627966046333313, 'learning_rate': 1.9013452914798208e-05, 'epoch': 9.51}
{'loss': -1.7102, 'grad_norm': 1.6007460355758667, 'learning_rate': 1.9372197309417042e-05, 'epoch': 9.69}
{'loss': -1.732, 'grad_norm': 2.1271016597747803, 'learning_rate': 1.9730941704035873e-05, 'epoch': 9.87}
{'loss': -1.7646, 'grad_norm': 1.9082468748092651, 'learning_rate': 2.008968609865471e-05, 'epoch': 10.04}
{'loss': -1.7874, 'grad_norm': 1.7691621780395508, 'learning_rate': 2.0448430493273544e-05, 'epoch': 10.22}
{'loss': -1.8098, 'grad_norm': 2.4155328273773193, 'learning_rate': 2.080717488789238e-05, 'epoch': 10.4}
{'loss': -1.8259, 'grad_norm': 2.3096020221710205, 'learning_rate': 2.1165919282511213e-05, 'epoch': 10.58}
{'loss': -1.8626, 'grad_norm': 1.8194347620010376, 'learning_rate': 2.1524663677130047e-05, 'epoch': 10.76}
{'loss': -1.8765, 'grad_norm': 1.723737120628357, 'learning_rate': 2.1883408071748878e-05, 'epoch': 10.94}
{'loss': -1.8961, 'grad_norm': 3.408684492111206, 'learning_rate': 2.2242152466367712e-05, 'epoch': 11.12}
{'loss': -1.9229, 'grad_norm': 4.249876022338867, 'learning_rate': 2.260089686098655e-05, 'epoch': 11.3}
{'loss': -1.9269, 'grad_norm': 2.9797539710998535, 'learning_rate': 2.2959641255605384e-05, 'epoch': 11.48}
{'loss': -1.952, 'grad_norm': 2.1555051803588867, 'learning_rate': 2.3318385650224218e-05, 'epoch': 11.66}
{'loss': -1.9666, 'grad_norm': 2.3245701789855957, 'learning_rate': 2.3677130044843052e-05, 'epoch': 11.84}
{'loss': -1.9903, 'grad_norm': 2.837148427963257, 'learning_rate': 2.4035874439461883e-05, 'epoch': 12.02}
{'loss': -2.0055, 'grad_norm': 2.6309423446655273, 'learning_rate': 2.4394618834080717e-05, 'epoch': 12.2}
{'loss': -2.0244, 'grad_norm': 4.025839805603027, 'learning_rate': 2.475336322869955e-05, 'epoch': 12.38}
{'loss': -2.0316, 'grad_norm': 3.567152261734009, 'learning_rate': 2.511210762331839e-05, 'epoch': 12.56}
{'loss': -2.0577, 'grad_norm': 3.184361457824707, 'learning_rate': 2.547085201793722e-05, 'epoch': 12.74}
{'loss': -2.0664, 'grad_norm': 3.1276729106903076, 'learning_rate': 2.5829596412556057e-05, 'epoch': 12.91}
{'loss': -2.0878, 'grad_norm': 3.667729616165161, 'learning_rate': 2.6188340807174888e-05, 'epoch': 13.09}
{'loss': -2.1055, 'grad_norm': 2.3959171772003174, 'learning_rate': 2.6547085201793725e-05, 'epoch': 13.27}
{'loss': -2.1119, 'grad_norm': 2.8027231693267822, 'learning_rate': 2.6905829596412556e-05, 'epoch': 13.45}
{'loss': -2.1292, 'grad_norm': 3.3346989154815674, 'learning_rate': 2.726457399103139e-05, 'epoch': 13.63}
{'loss': -2.1457, 'grad_norm': 2.382627487182617, 'learning_rate': 2.7623318385650228e-05, 'epoch': 13.81}
{'loss': -2.1625, 'grad_norm': 2.3124895095825195, 'learning_rate': 2.798206278026906e-05, 'epoch': 13.99}
{'loss': -2.1712, 'grad_norm': 3.0164153575897217, 'learning_rate': 2.8340807174887896e-05, 'epoch': 14.17}
{'loss': -2.1885, 'grad_norm': 4.286198616027832, 'learning_rate': 2.8699551569506727e-05, 'epoch': 14.35}
{'loss': -2.1931, 'grad_norm': 3.097428321838379, 'learning_rate': 2.9058295964125558e-05, 'epoch': 14.53}
{'loss': -2.2175, 'grad_norm': 3.0560319423675537, 'learning_rate': 2.9417040358744395e-05, 'epoch': 14.71}
{'loss': -2.2197, 'grad_norm': 5.176172256469727, 'learning_rate': 2.977578475336323e-05, 'epoch': 14.89}
{'loss': -2.2389, 'grad_norm': 2.8598151206970215, 'learning_rate': 3.0134529147982067e-05, 'epoch': 15.07}
{'loss': -2.2512, 'grad_norm': 3.2453453540802, 'learning_rate': 3.0493273542600898e-05, 'epoch': 15.25}
{'loss': -2.2572, 'grad_norm': 3.3280062675476074, 'learning_rate': 3.085201793721973e-05, 'epoch': 15.43}
{'loss': -2.2687, 'grad_norm': 7.9692912101745605, 'learning_rate': 3.1210762331838566e-05, 'epoch': 15.61}
{'loss': -2.283, 'grad_norm': 4.832867622375488, 'learning_rate': 3.15695067264574e-05, 'epoch': 15.78}
{'loss': -2.2915, 'grad_norm': 3.557490110397339, 'learning_rate': 3.1928251121076234e-05, 'epoch': 15.96}
{'loss': -2.3008, 'grad_norm': 7.041042804718018, 'learning_rate': 3.228699551569507e-05, 'epoch': 16.14}
{'loss': -2.3148, 'grad_norm': 5.7922844886779785, 'learning_rate': 3.26457399103139e-05, 'epoch': 16.32}
{'loss': -2.3153, 'grad_norm': 5.001638889312744, 'learning_rate': 3.300448430493274e-05, 'epoch': 16.5}
{'loss': -2.3355, 'grad_norm': 4.047233581542969, 'learning_rate': 3.336322869955157e-05, 'epoch': 16.68}
{'loss': -2.3406, 'grad_norm': 3.2748124599456787, 'learning_rate': 3.3721973094170405e-05, 'epoch': 16.86}
{'loss': -2.3582, 'grad_norm': 5.827600955963135, 'learning_rate': 3.408071748878924e-05, 'epoch': 17.04}
{'loss': -2.365, 'grad_norm': 6.619632720947266, 'learning_rate': 3.4439461883408074e-05, 'epoch': 17.22}
{'loss': -2.3712, 'grad_norm': 6.616597652435303, 'learning_rate': 3.479820627802691e-05, 'epoch': 17.4}
{'loss': -2.3794, 'grad_norm': 6.439720630645752, 'learning_rate': 3.515695067264574e-05, 'epoch': 17.58}
{'loss': -2.3939, 'grad_norm': 3.0665225982666016, 'learning_rate': 3.5515695067264576e-05, 'epoch': 17.76}
{'loss': -2.3991, 'grad_norm': 5.816974639892578, 'learning_rate': 3.587443946188341e-05, 'epoch': 17.94}
{'loss': -2.4093, 'grad_norm': 5.092893600463867, 'learning_rate': 3.6233183856502244e-05, 'epoch': 18.12}
{'loss': -2.4228, 'grad_norm': 3.1871964931488037, 'learning_rate': 3.659192825112108e-05, 'epoch': 18.3}
{'loss': -2.421, 'grad_norm': 4.254710674285889, 'learning_rate': 3.695067264573991e-05, 'epoch': 18.48}
{'loss': -2.4396, 'grad_norm': 7.638544082641602, 'learning_rate': 3.730941704035875e-05, 'epoch': 18.65}
